firm_name,domain,employee_count,linkedin_url
Gensler,gensler.com,150,https://www.linkedin.com/company/gensler
HDR Inc,hdrinc.com,200,https://www.linkedin.com/company/hdr
Perkins and Will,perkinswill.com,180,https://www.linkedin.com/company/perkins-will
SmithGroup,smithgroup.com,120,https://www.linkedin.com/company/smithgroup
Stantec,stantec.com,250,https://www.linkedin.com/company/stantec
AECOM,aecom.com,300,https://www.linkedin.com/company/aecom
HKS Inc,hksinc.com,175,https://www.linkedin.com/company/hks-inc-
CannonDesign,cannondesign.com,160,https://www.linkedin.com/company/cannondesign
HOK,hok.com,195,https://www.linkedin.com/company/hok
Populous,populous.com,85,https://www.linkedin.com/company/populous
CallisonRTKL,crtkl.com,140,https://www.linkedin.com/company/callisonrtkl
ZGF Architects,zgf.com,95,https://www.linkedin.com/company/zgf-architects
Pelli Clarke & Partners,pcparch.com,65,https://www.linkedin.com/company/pelli-clarke-pelli-architects
SOM,som.com,110,https://www.linkedin.com/company/skidmore-owings-merrill
KPF,kpf.com,125,https://www.linkedin.com/company/kohn-pedersen-fox-associates
NBBJ,nbbj.com,130,https://www.linkedin.com/company/nbbj
Leo A Daly,leoadaly.com,155,https://www.linkedin.com/company/leo-a-daly
Corgan,corgan.com,88,https://www.linkedin.com/company/corgan
RNL Design,rnldesign.com,72,https://www.linkedin.com/company/rnl-design
EYP Architecture & Engineering,eypae.com,145,https://www.linkedin.com/company/eyp-architecture-engineering
